symbol,ts_utc,open,high,low,close,volume_usd
ADAUSDT,2024-11-09 00:00:00+00:00,0.4447,0.4988,0.4274,0.497,397860037.9507
ADAUSDT,2024-11-10 00:00:00+00:00,0.497,0.66,0.4882,0.5907,2555729752.8274
ADAUSDT,2024-11-11 00:00:00+00:00,0.5907,0.6252,0.5651,0.6139,1162992996.9731
ADAUSDT,2024-11-12 00:00:00+00:00,0.6139,0.6555,0.5557,0.5714,1177816009.5041
ADAUSDT,2024-11-13 00:00:00+00:00,0.5715,0.6106,0.5191,0.5788,1025680509.6217
ADAUSDT,2024-11-14 00:00:00+00:00,0.5787,0.6009,0.5418,0.5795,664079721.3187
ADAUSDT,2024-11-15 00:00:00+00:00,0.5794,0.708,0.5751,0.7076,1820126652.5164
ADAUSDT,2024-11-16 00:00:00+00:00,0.7077,0.8199,0.7029,0.742,2198790678.1582
ADAUSDT,2024-11-17 00:00:00+00:00,0.742,0.7738,0.6904,0.703,908470826.1302
ADAUSDT,2024-11-18 00:00:00+00:00,0.703,0.7856,0.7006,0.7333,917259012.8803
ADAUSDT,2024-11-19 00:00:00+00:00,0.7333,0.7658,0.7203,0.7389,650336403.4496
ADAUSDT,2024-11-20 00:00:00+00:00,0.739,0.8488,0.7388,0.8003,1929800457.8878
ADAUSDT,2024-11-21 00:00:00+00:00,0.8004,0.825,0.766,0.8226,1025784117.7151
ADAUSDT,2024-11-22 00:00:00+00:00,0.8227,1.044,0.813,1.0177,2533519333.7445
ADAUSDT,2024-11-23 00:00:00+00:00,1.0178,1.1575,1.0161,1.0665,2669191842.6918
ADAUSDT,2024-11-24 00:00:00+00:00,1.0666,1.0989,0.9412,1.0233,1647436723.0815
ADAUSDT,2024-11-25 00:00:00+00:00,1.0234,1.0794,0.9303,0.9445,1486186427.7618
ADAUSDT,2024-11-26 00:00:00+00:00,0.9445,0.9907,0.8753,0.9607,1261317658.9333
ADAUSDT,2024-11-27 00:00:00+00:00,0.9608,1.0426,0.932,1.0123,1120526293.8737
ADAUSDT,2024-11-28 00:00:00+00:00,1.0122,1.05,0.9708,1.0328,752814632.4092
ADAUSDT,2024-11-29 00:00:00+00:00,1.0328,1.1008,1.0283,1.0762,1111238296.4362
ADAUSDT,2024-11-30 00:00:00+00:00,1.0763,1.1516,1.0509,1.08,1104944396.477
ADAUSDT,2024-12-01 00:00:00+00:00,1.0798,1.165,1.0381,1.1512,1113034315.9671
ADAUSDT,2024-12-02 00:00:00+00:00,1.1511,1.2444,1.0574,1.2036,2582332544.3225
ADAUSDT,2024-12-03 00:00:00+00:00,1.2035,1.329,1.14,1.1924,2438098327.9761
ADAUSDT,2024-12-04 00:00:00+00:00,1.1925,1.2435,1.141,1.1881,1354266442.0563
ADAUSDT,2024-12-05 00:00:00+00:00,1.1882,1.2467,1.1164,1.1605,1652618138.1202
ADAUSDT,2024-12-06 00:00:00+00:00,1.1605,1.2392,1.1347,1.2288,1068633712.2645
ADAUSDT,2024-12-07 00:00:00+00:00,1.2288,1.2385,1.1883,1.2116,653070488.3672
ADAUSDT,2024-12-08 00:00:00+00:00,1.2116,1.226,1.1733,1.1947,905114652.3854
ADAUSDT,2024-12-09 00:00:00+00:00,1.1946,1.1948,0.8952,1.0033,1754274106.401
ADAUSDT,2024-12-10 00:00:00+00:00,1.0034,1.038,0.9098,1.0214,1676540428.7721
ADAUSDT,2024-12-11 00:00:00+00:00,1.0215,1.1143,0.9717,1.0867,962288247.8684
ADAUSDT,2024-12-12 00:00:00+00:00,1.0866,1.1817,1.0726,1.1229,993822222.0051
ADAUSDT,2024-12-13 00:00:00+00:00,1.123,1.1312,1.0752,1.1212,704889365.2529
ADAUSDT,2024-12-14 00:00:00+00:00,1.1212,1.1335,1.0427,1.0603,610138705.5852
ADAUSDT,2024-12-15 00:00:00+00:00,1.0603,1.1125,1.0384,1.0997,606561025.2103
ADAUSDT,2024-12-16 00:00:00+00:00,1.0996,1.1215,1.0471,1.0774,794737962.9469
ADAUSDT,2024-12-17 00:00:00+00:00,1.0774,1.112,1.0412,1.0518,802083758.0629
ADAUSDT,2024-12-18 00:00:00+00:00,1.0518,1.0598,0.9494,0.968,1046134152.6021
ADAUSDT,2024-12-19 00:00:00+00:00,0.9679,0.9887,0.8466,0.8802,1219545824.508
ADAUSDT,2024-12-20 00:00:00+00:00,0.8802,0.9581,0.7616,0.9492,1344723900.9886
ADAUSDT,2024-12-21 00:00:00+00:00,0.9492,0.9975,0.8863,0.9048,885274628.03
ADAUSDT,2024-12-22 00:00:00+00:00,0.9048,0.9245,0.8584,0.883,637963311.47
ADAUSDT,2024-12-23 00:00:00+00:00,0.883,0.9423,0.8616,0.9261,716547512.3438
ADAUSDT,2024-12-24 00:00:00+00:00,0.9262,0.9499,0.8911,0.9355,489796789.4047
ADAUSDT,2024-12-25 00:00:00+00:00,0.9354,0.9399,0.899,0.9172,350986057.139
ADAUSDT,2024-12-26 00:00:00+00:00,0.9172,0.9277,0.8503,0.8604,414740213.2891
ADAUSDT,2024-12-27 00:00:00+00:00,0.8603,0.9146,0.8544,0.8768,463013891.2816
ADAUSDT,2024-12-28 00:00:00+00:00,0.8768,0.8997,0.8656,0.8892,254794094.7475
ADAUSDT,2024-12-29 00:00:00+00:00,0.8891,0.9122,0.8506,0.8582,330325532.1414
ADAUSDT,2024-12-30 00:00:00+00:00,0.8583,0.9045,0.829,0.8613,534831276.5203
ADAUSDT,2024-12-31 00:00:00+00:00,0.8613,0.8789,0.839,0.8447,323554631.7013
ADAUSDT,2025-01-01 00:00:00+00:00,0.8448,0.9354,0.8377,0.9223,492570106.5396
ADAUSDT,2025-01-02 00:00:00+00:00,0.9223,0.9821,0.9221,0.9613,560679945.3165
ADAUSDT,2025-01-03 00:00:00+00:00,0.9613,1.1193,0.9567,1.0895,1344999072.3479
ADAUSDT,2025-01-04 00:00:00+00:00,1.0894,1.1147,1.0565,1.0707,609784419.4032
ADAUSDT,2025-01-05 00:00:00+00:00,1.0707,1.1132,1.0522,1.0909,736085970.2018
ADAUSDT,2025-01-06 00:00:00+00:00,1.0909,1.1164,1.0611,1.0932,674105912.9083
ADAUSDT,2025-01-07 00:00:00+00:00,1.0932,1.152,0.9861,0.9888,1360053343.1226
ADAUSDT,2025-01-08 00:00:00+00:00,0.9888,1.0236,0.9081,0.9462,1098027878.2015
ADAUSDT,2025-01-09 00:00:00+00:00,0.9462,0.9594,0.8792,0.9038,753376432.8837
ADAUSDT,2025-01-10 00:00:00+00:00,0.9038,0.9736,0.9033,0.9297,782868011.5946
ADAUSDT,2025-01-11 00:00:00+00:00,0.9297,1.0168,0.913,0.9952,503932376.2488
ADAUSDT,2025-01-12 00:00:00+00:00,0.9951,1.036,0.9612,0.9671,817068138.6066
ADAUSDT,2025-01-13 00:00:00+00:00,0.9671,0.9935,0.8733,0.9439,1050416630.3534
ADAUSDT,2025-01-14 00:00:00+00:00,0.9438,1.0106,0.9374,0.9969,656590838.8859
ADAUSDT,2025-01-15 00:00:00+00:00,0.9968,1.0893,0.9877,1.0753,1329661845.3742
ADAUSDT,2025-01-16 00:00:00+00:00,1.0754,1.1449,1.027,1.0889,1424309667.7553
ADAUSDT,2025-01-17 00:00:00+00:00,1.0889,1.1663,1.0848,1.1328,1009383771.6353
ADAUSDT,2025-01-18 00:00:00+00:00,1.1327,1.1461,1.048,1.1042,918532230.3274
ADAUSDT,2025-01-19 00:00:00+00:00,1.1041,1.1522,0.9624,0.9924,1449316117.0772
