symbol,ts_utc,funding_close
BNB,2023-12-06 00:00:00+00,0.017618
BNB,2023-12-07 00:00:00+00,0.03547
BNB,2023-12-08 00:00:00+00,0.049096
BNB,2023-12-09 00:00:00+00,0.027677
BNB,2023-12-10 00:00:00+00,0.034473
BNB,2023-12-11 00:00:00+00,0.003244
BNB,2023-12-12 00:00:00+00,-0.044529
BNB,2023-12-13 00:00:00+00,-0.05405
BNB,2023-12-14 00:00:00+00,0.003474
BNB,2023-12-15 00:00:00+00,-0.058391
BNB,2023-12-16 00:00:00+00,-0.032358
BNB,2023-12-17 00:00:00+00,0.007311
BNB,2023-12-18 00:00:00+00,0.011415
BNB,2023-12-19 00:00:00+00,-0.119838
BNB,2023-12-20 00:00:00+00,-0.063699
BNB,2023-12-21 00:00:00+00,-0.036805
BNB,2023-12-22 00:00:00+00,-0.011832
BNB,2023-12-23 00:00:00+00,-0.053934
BNB,2023-12-24 00:00:00+00,-0.046226
BNB,2023-12-25 00:00:00+00,0.004199
BNB,2023-12-26 00:00:00+00,0.006168
BNB,2023-12-27 00:00:00+00,-0.084134
BNB,2023-12-28 00:00:00+00,-0.055555
BNB,2023-12-29 00:00:00+00,-0.041241
BNB,2023-12-30 00:00:00+00,-0.126223
BNB,2023-12-31 00:00:00+00,-0.099437
BTC,2023-04-23 00:00:00+00,0.00643187
BTC,2023-04-24 00:00:00+00,0.00396581
BTC,2023-04-25 00:00:00+00,0.00451435
BTC,2023-04-26 00:00:00+00,0.001335
BTC,2023-04-27 00:00:00+00,0.006673
BTC,2023-04-28 00:00:00+00,-0.000404
BTC,2023-04-29 00:00:00+00,0.002456
BTC,2023-04-30 00:00:00+00,0.002533
BTC,2023-05-01 00:00:00+00,0.004048
BTC,2023-05-02 00:00:00+00,0.002537
BTC,2023-05-03 00:00:00+00,0.010002
BTC,2023-05-04 00:00:00+00,0.002508
BTC,2023-05-05 00:00:00+00,0.007938
BTC,2023-05-06 00:00:00+00,-0.000231
BTC,2023-05-07 00:00:00+00,0.001835
BTC,2023-05-08 00:00:00+00,0.002151
